filename,product_name,price_default,price_card,price_discount,barcode,discount_amount,id_sku,print_datetime,code,additional_info,color,special_symbols,frame_timestamp,x_min,y_min,x_max,y_max,qr_code_barcode,price1_qr,price2_qr,price3_qr,price4_qr,wholesale_level_1_count,wholesale_level_1_price,wholesale_level_2_count,wholesale_level_2_price,action_price_qr,action_code_qr
crop_0000_orange.jpg,ciomtardUgr HOHAUTMARIN,,754.0,,,,,,,,orange,,0,0,0,0,0,,,,,,нет,нет,нет,нет,нет,нет
crop_0001_orange.jpg,"Gen,Gyx.（ BHWO HAUT MARIN blancLintonneopn Colombard Ugni Cyaoc",75.0,1747.0,,36011049,,,,,,orange,,0,0,0,0,0,,,,,,нет,нет,нет,нет,нет,нет
crop_0002_blue.jpg,Wapno,,,,,-35%,,,,,blue,,0,0,0,0,0,,,,,,нет,нет,нет,нет,,
crop_0004_orange.jpg,DAOLESHOAGES Coiomubn nn hrocopntn,23157.0,1529.0,,,-33%,,,,,orange,,0,0,0,0,0,,,,,,нет,нет,нет,нет,,
crop_0005_orange.jpg,LTITUOECOOHHLOH Ecn.cyz paimwa)o.75u,75.0,2315.0,,,,,,,,orange,,0,0,0,0,0,,,,,,нет,нет,нет,нет,нет,нет
crop_0006_blue.jpg,,,,,,-35%,,,,,blue,,0,0,0,0,0,,,,,,нет,нет,нет,нет,,
crop_0008_blue.jpg,ERHOHAUT Coiomtad thne Lror GencL,,75.0,,,-25%,,,,,blue,,0,0,0,0,0,,,,,,нет,нет,нет,нет,,
crop_0009_blue.jpg,,,,,,-36%,,,,,blue,,0,0,0,0,0,,,,,,нет,нет,нет,нет,,
crop_0010_orange.jpg,,,189.0,,,,,,,,orange,,0,0,0,0,0,,,,,,нет,нет,нет,нет,нет,нет
crop_0011_orange.jpg,Crio,1736.0,1299.0,,,-25%,,,,,orange,,0,0,0,0,0,,,,,,нет,нет,нет,нет,,
crop_0030_orange.jpg,B-OHEHDI Coie LOUHCIGC TU8A-,72.0,5299.0,,,-32%,,,,,orange,,0,0,0,0,0,,,,,,нет,нет,нет,нет,,
crop_0039_orange.jpg,,318.0,969.0,,,,,,,,orange,,0,0,0,0,0,,,,,,нет,нет,нет,нет,нет,нет
crop_0018_blue.jpg,,,328.0,,,,,,,,blue,,0,0,0,0,0,,,,,,нет,нет,нет,нет,нет,нет
crop_0019_.jpg,DARO JAROIN DES CHARNES SAUVIGNON HN DH Kom in bnta on cyxtwpnnlo.75L CyDA,75.0,1429.0,,,-20%,,,,,,,0,0,0,0,0,,,,,,,,,,,
crop_0022_orange.jpg,Colombard Ugni BMHO HAUT MARIN Cyaoe,1747.0,1104.0,,,-36%,,,,,orange,,0,0,0,0,0,,,,,,нет,нет,нет,нет,,
crop_0021_blue.jpg,BparE,,,,,-35%,,,,,blue,,0,0,0,0,0,,,,,,нет,нет,нет,нет,,
crop_0026_blue.jpg,,,,,,-35%,,,,,blue,,0,0,0,0,0,,,,,,нет,нет,нет,нет,,
crop_0031_orange.jpg,GRAAD,,1736.0,,,,,,,,orange,,0,0,0,0,0,,,,,,нет,нет,нет,нет,нет,нет
crop_0032_blue.jpg,,,,,,-36%,,,,,blue,,0,0,0,0,0,,,,,,нет,нет,нет,нет,,
crop_0038_orange.jpg,COUHHLOH ENAH Hrmnaniunyap cop Gen oyA (pauaa]O7SL,,1584.0,,,-11%,,,,,orange,,0,0,0,0,0,,,,,,нет,нет,нет,нет,,
crop_0045_orange.jpg,,,12999.0,,,,,,,,orange,,0,0,0,0,0,,,,,,нет,нет,нет,нет,нет,нет
crop_0046_blue.jpg,,,,,,-35%,,,,,blue,,0,0,0,0,0,,,,,,нет,нет,нет,нет,,
crop_0048_blue.jpg,,,229.0,,,,,,,,blue,,0,0,0,0,0,,,,,,нет,нет,нет,нет,нет,нет
crop_0049_orange.jpg,,,158.0,,,,,,,,orange,,0,0,0,0,0,,,,,,нет,нет,нет,нет,нет,нет
crop_0051_orange.jpg,ALTITUDE BXHO FURE,149.0,751.0,,,,,,Q751,,orange,,0,0,0,0,0,,,,,,нет,нет,нет,нет,нет,нет
crop_0053_blue.jpg,,,359.0,,,,,,,,blue,,0,0,0,0,0,,,,,,нет,нет,нет,нет,нет,нет
crop_0054_orange.jpg,,,142.0,,,-20%,,,,,orange,,0,0,0,0,0,,,,,,нет,нет,нет,нет,,
crop_0056_blue.jpg,,,369.0,,,,,,,,blue,,0,0,0,0,0,,,,,,нет,нет,нет,нет,нет,нет
crop_0059_orange.jpg,CHO PURE TTUDE COO mwBancn,23098.79,594.0,,,,,,,,orange,,0,0,0,0,0,,,,,,нет,нет,нет,нет,нет,нет
